=============new================
0.1, 10
0.2, 10
0.3, 10
0.4, 10
0.5, 10
0.6, 10
0.7, 10
0.8, 10
0.9, 10
1.0, 10
3.0, 10
5.0, 10
=============new================
0.1, 56
0.2, 18
0.3, 20
0.4, 18
0.5, 19
0.6, 17
0.7, 17
0.8, 14
0.9, 14
1.0, 18
3.0, 15
5.0, 14
=============new================
0.1, 62
0.2, 75
0.3, 24
0.4, 25
0.5, 27
0.6, 24
0.7, 23
0.8, 22
0.9, 21
1.0, 21
3.0, 20
5.0, 16
=============new================
0.1, 68
0.2, 83
0.3, 78
0.4, 33
0.5, 35
0.6, 32
0.7, 30
0.8, 29
0.9, 24
1.0, 28
3.0, 21
5.0, 19
=============new================
0.1, 75
0.2, 92
0.3, 88
0.4, 80
0.5, 40
0.6, 38
0.7, 38
0.8, 38
0.9, 29
1.0, 34
3.0, 25
5.0, 23
=============new================
0.1, 82
0.2, 101
0.3, 97
0.4, 88
0.5, 81
0.6, 47
0.7, 46
0.8, 45
0.9, 35
1.0, 42
3.0, 30
5.0, 26
=============new================
0.1, 88
0.2, 109
0.3, 106
0.4, 95
0.5, 89
0.6, 82
0.7, 54
0.8, 51
0.9, 44
1.0, 50
3.0, 38
5.0, 34
=============new================
0.1, 97
0.2, 117
0.3, 114
0.4, 105
0.5, 97
0.6, 92
0.7, 86
0.8, 60
0.9, 51
1.0, 57
3.0, 44
5.0, 40
=============new================
0.1, 105
0.2, 126
0.3, 123
0.4, 114
0.5, 106
0.6, 100
0.7, 93
0.8, 90
0.9, 60
1.0, 65
3.0, 53
5.0, 45
=============new================
0.1, 114
0.2, 135
0.3, 130
0.4, 121
0.5, 114
0.6, 108
0.7, 101
0.8, 97
0.9, 94
1.0, 72
3.0, 61
5.0, 53
=============new================
0.1, 123
0.2, 143
0.3, 140
0.4, 131
0.5, 121
0.6, 118
0.7, 110
0.8, 105
0.9, 101
1.0, 99
3.0, 69
5.0, 60
=============new================
0.1, 132
0.2, 152
0.3, 150
0.4, 139
0.5, 130
0.6, 127
0.7, 120
0.8, 114
0.9, 107
1.0, 107
3.0, 95
5.0, 67
=============new================
0.1, 141
0.2, 162
0.3, 159
0.4, 148
0.5, 140
0.6, 137
0.7, 130
0.8, 121
0.9, 116
1.0, 114
3.0, 103
5.0, 89
