1,0,1,1
1,1,2,0.5
1,2,3,0.3333333333
2,2,4,0.5
3,2,5,0.6
4,2,6,0.6666666667
4,3,7,0.5714285714
4,4,8,0.5
5,4,9,0.5555555556
6,4,10,0.6
7,4,11,0.6363636364
8,4,12,0.6666666667
9,4,13,0.6923076923
9,5,14,0.6428571429
10,5,15,0.6666666667
10,6,16,0.625
11,6,17,0.6470588235
12,6,18,0.6666666667
12,7,19,0.6315789474
12,8,20,0.6
12,9,21,0.5714285714
13,9,22,0.5909090909
14,9,23,0.6086956522
15,9,24,0.625
16,9,25,0.64
17,9,26,0.6538461538
18,9,27,0.6666666667
18,10,28,0.6428571429
19,11,30,0.6333333333
19,12,31,0.6129032258
20,12,32,0.625
20,13,33,0.6060606061
21,13,34,0.6176470588
21,14,35,0.6
21,15,36,0.5833333333
22,15,37,0.5945945946
22,16,38,0.5789473684
23,16,39,0.5897435897
23,17,40,0.575
24,17,41,0.5853658537
25,17,42,0.5952380952
26,17,43,0.6046511628
26,18,44,0.5909090909
27,18,45,0.6
28,18,46,0.6086956522
28,19,47,0.5957446809
28,20,48,0.5833333333
28,21,49,0.5714285714
28,22,50,0.56
28,23,51,0.5490196078
28,24,52,0.5384615385
29,24,53,0.5471698113
30,24,54,0.5555555556
30,25,55,0.5454545455
31,25,56,0.5535714286
31,26,57,0.5438596491
32,26,58,0.5517241379
33,26,59,0.5593220339
34,26,60,0.5666666667
35,26,61,0.5737704918
35,27,62,0.564516129
35,28,63,0.5555555556
35,29,64,0.546875
35,30,65,0.5384615385
35,31,66,0.5303030303
35,32,67,0.5223880597
36,32,68,0.5294117647
36,33,69,0.5217391304
37,33,70,0.5285714286
38,33,71,0.5352112676
38,34,72,0.5277777778
39,34,73,0.5342465753
40,34,74,0.5405405405
41,34,75,0.5466666667
41,35,76,0.5394736842
41,36,77,0.5324675325
42,36,78,0.5384615385
43,36,79,0.5443037975
44,36,80,0.55
45,36,81,0.5555555556
46,36,82,0.5609756098
47,36,83,0.5662650602
47,37,84,0.5595238095
47,38,85,0.5529411765
47,39,86,0.5465116279
47,40,87,0.5402298851
47,41,88,0.5340909091
48,41,89,0.5393258427
48,42,90,0.5333333333
