=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 10, 0, 0, 0, 0, 0, 0, 0
0.04, 10, 0, 0, 0, 0, 0, 0, 0
0.06, 10, 0, 0, 0, 0, 0, 0, 0
0.08, 10, 0, 0, 0, 0, 0, 0, 0
0.1, 10, 0, 0, 0, 0, 0, 0, 0
0.2, 10, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 2, 0, 4, 3, 4, 3
0.04, 10, 8, 0, 0, 0, 0, 0, 0
0.06, 10, 10, 0, 0, 0, 0, 0, 0
0.08, 10, 6, 0, 0, 0, 0, 0, 0
0.1, 10, 7, 0, 0, 0, 0, 0, 0
0.2, 10, 6, 0, 0, 0, 0, 0, 0
1.0, 10, 7, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 0, 4, 3, 4, 3
0.04, 20, 16, 0, 4, 3, 4, 4, 6
0.06, 10, 10, 6, 0, 0, 0, 0, 0
0.08, 10, 6, 7, 0, 0, 0, 0, 0
0.1, 10, 7, 6, 0, 0, 0, 0, 0
0.2, 10, 6, 6, 0, 0, 0, 0, 0
1.0, 10, 7, 4, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 2, 4, 3, 4, 3
0.04, 20, 16, 0, 8, 3, 4, 4, 6
0.06, 20, 18, 12, 0, 6, 6, 3, 5
0.08, 10, 6, 7, 4, 0, 0, 0, 0
0.1, 10, 7, 6, 4, 0, 0, 0, 0
0.2, 10, 6, 6, 7, 0, 0, 0, 0
1.0, 10, 7, 4, 5, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 2, 7, 3, 4, 3
0.04, 20, 16, 0, 8, 8, 4, 4, 6
0.06, 20, 18, 12, 0, 10, 6, 3, 5
0.08, 20, 13, 12, 10, 0, 6, 2, 10
0.1, 10, 7, 6, 4, 4, 0, 0, 0
0.2, 10, 6, 6, 7, 8, 0, 0, 0
1.0, 10, 7, 4, 5, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 2, 7, 7, 4, 3
0.04, 20, 16, 0, 8, 8, 7, 4, 6
0.06, 20, 18, 12, 0, 10, 9, 3, 5
0.08, 20, 13, 12, 10, 0, 12, 2, 10
0.1, 20, 13, 13, 11, 8, 0, 8, 9
0.2, 10, 6, 6, 7, 8, 2, 0, 0
1.0, 10, 7, 4, 5, 0, 1, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 2, 7, 7, 5, 3
0.04, 20, 16, 0, 8, 8, 7, 6, 6
0.06, 20, 18, 12, 0, 10, 9, 6, 5
0.08, 20, 13, 12, 10, 0, 12, 5, 10
0.1, 20, 13, 13, 11, 8, 0, 14, 9
0.2, 20, 15, 14, 14, 15, 6, 0, 6
1.0, 10, 7, 4, 5, 0, 1, 4, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 20, 0, 4, 2, 7, 7, 5, 7
0.04, 20, 16, 0, 8, 8, 7, 6, 12
0.06, 20, 18, 12, 0, 10, 9, 6, 12
0.08, 20, 13, 12, 10, 0, 12, 5, 15
0.1, 20, 13, 13, 11, 8, 0, 14, 15
0.2, 20, 15, 14, 14, 15, 6, 0, 13
1.0, 20, 13, 8, 8, 5, 5, 7, 0
