=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0
0.02, 10, 0, 0, 0, 0, 0, 0, 0
0.04, 10, 0, 0, 0, 0, 0, 0, 0
0.06, 10, 0, 0, 0, 0, 0, 0, 0
0.08, 10, 0, 0, 0, 0, 0, 0, 0
0.1, 10, 0, 0, 0, 0, 0, 0, 0
0.2, 10, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 3, 3, 1, 1, 1, 1
0.04, 10, 7, 0, 0, 0, 0, 0, 0
0.06, 10, 7, 0, 0, 0, 0, 0, 0
0.08, 10, 9, 0, 0, 0, 0, 0, 0
0.1, 10, 9, 0, 0, 0, 0, 0, 0
0.2, 10, 9, 0, 0, 0, 0, 0, 0
1.0, 10, 9, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 3, 1, 1, 1, 1
0.04, 20, 15, 0, 2, 3, 1, 3, 8
0.06, 10, 7, 8, 0, 0, 0, 0, 0
0.08, 10, 9, 7, 0, 0, 0, 0, 0
0.1, 10, 9, 9, 0, 0, 0, 0, 0
0.2, 10, 9, 7, 0, 0, 0, 0, 0
1.0, 10, 9, 2, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 4, 1, 1, 1, 1
0.04, 20, 15, 0, 7, 3, 1, 3, 8
0.06, 20, 16, 13, 0, 4, 3, 4, 8
0.08, 10, 9, 7, 6, 0, 0, 0, 0
0.1, 10, 9, 9, 7, 0, 0, 0, 0
0.2, 10, 9, 7, 6, 0, 0, 0, 0
1.0, 10, 9, 2, 2, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 4, 3, 1, 1, 1
0.04, 20, 15, 0, 7, 6, 1, 3, 8
0.06, 20, 16, 13, 0, 8, 3, 4, 8
0.08, 20, 17, 14, 12, 0, 6, 5, 4
0.1, 10, 9, 9, 7, 4, 0, 0, 0
0.2, 10, 9, 7, 6, 5, 0, 0, 0
1.0, 10, 9, 2, 2, 6, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 4, 3, 3, 1, 1
0.04, 20, 15, 0, 7, 6, 4, 3, 8
0.06, 20, 16, 13, 0, 8, 6, 4, 8
0.08, 20, 17, 14, 12, 0, 11, 5, 4
0.1, 20, 17, 16, 14, 9, 0, 7, 6
0.2, 10, 9, 7, 6, 5, 3, 0, 0
1.0, 10, 9, 2, 2, 6, 4, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 4, 3, 3, 5, 1
0.04, 20, 15, 0, 7, 6, 4, 7, 8
0.06, 20, 16, 13, 0, 8, 6, 5, 8
0.08, 20, 17, 14, 12, 0, 11, 6, 4
0.1, 20, 17, 16, 14, 9, 0, 8, 6
0.2, 20, 15, 13, 15, 14, 12, 0, 10
1.0, 10, 9, 2, 2, 6, 4, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 0, 0, 0, 0, 0, 0
0.02, 18, 0, 5, 4, 3, 3, 5, 2
0.04, 20, 15, 0, 7, 6, 4, 7, 13
0.06, 20, 16, 13, 0, 8, 6, 5, 13
0.08, 20, 17, 14, 12, 0, 11, 6, 10
0.1, 20, 17, 16, 14, 9, 0, 8, 12
0.2, 20, 15, 13, 15, 14, 12, 0, 17
1.0, 20, 18, 7, 7, 10, 8, 3, 0
