=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 1, 1, 0, 0, 0, 0, 0
0.02, 9, 0, 0, 0, 0, 0, 0, 0
0.04, 9, 0, 0, 0, 0, 0, 0, 0
0.06, 10, 0, 0, 0, 0, 0, 0, 0
0.08, 10, 0, 0, 0, 0, 0, 0, 0
0.1, 10, 0, 0, 0, 0, 0, 0, 0
0.2, 10, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 3, 1, 0, 1, 0, 4
0.04, 9, 7, 0, 0, 0, 0, 0, 0
0.06, 10, 9, 0, 0, 0, 0, 0, 0
0.08, 10, 10, 0, 0, 0, 0, 0, 0
0.1, 10, 9, 0, 0, 0, 0, 0, 0
0.2, 10, 10, 0, 0, 0, 0, 0, 0
1.0, 10, 6, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 1, 0, 1, 0, 4
0.04, 19, 14, 0, 3, 4, 4, 1, 3
0.06, 10, 9, 7, 0, 0, 0, 0, 0
0.08, 10, 10, 6, 0, 0, 0, 0, 0
0.1, 10, 9, 6, 0, 0, 0, 0, 0
0.2, 10, 10, 9, 0, 0, 0, 0, 0
1.0, 10, 6, 7, 0, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 5, 0, 1, 0, 4
0.04, 19, 14, 0, 9, 4, 4, 1, 3
0.06, 20, 15, 11, 0, 5, 4, 2, 7
0.08, 10, 10, 6, 5, 0, 0, 0, 0
0.1, 10, 9, 6, 6, 0, 0, 0, 0
0.2, 10, 10, 9, 8, 0, 0, 0, 0
1.0, 10, 6, 7, 3, 0, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 5, 2, 1, 0, 4
0.04, 19, 14, 0, 9, 8, 4, 1, 3
0.06, 20, 15, 11, 0, 6, 4, 2, 7
0.08, 20, 18, 12, 14, 0, 5, 4, 7
0.1, 10, 9, 6, 6, 5, 0, 0, 0
0.2, 10, 10, 9, 8, 6, 0, 0, 0
1.0, 10, 6, 7, 3, 3, 0, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 5, 2, 3, 0, 4
0.04, 19, 14, 0, 9, 8, 6, 1, 3
0.06, 20, 15, 11, 0, 6, 7, 2, 7
0.08, 20, 18, 12, 14, 0, 8, 4, 7
0.1, 20, 17, 14, 13, 12, 0, 4, 8
0.2, 10, 10, 9, 8, 6, 6, 0, 0
1.0, 10, 6, 7, 3, 3, 2, 0, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 5, 2, 3, 1, 4
0.04, 19, 14, 0, 9, 8, 6, 4, 3
0.06, 20, 15, 11, 0, 6, 7, 5, 7
0.08, 20, 18, 12, 14, 0, 8, 9, 7
0.1, 20, 17, 14, 13, 12, 0, 8, 8
0.2, 20, 19, 16, 15, 11, 12, 0, 8
1.0, 10, 6, 7, 3, 3, 2, 2, 0
=============new================
,0.0,0.02,0.04,0.06,0.08,0.1,0.2,1.0
0.0, 0, 2, 1, 0, 0, 0, 0, 0
0.02, 18, 0, 6, 5, 2, 3, 1, 6
0.04, 19, 14, 0, 9, 8, 6, 4, 7
0.06, 20, 15, 11, 0, 6, 7, 5, 13
0.08, 20, 18, 12, 14, 0, 8, 9, 9
0.1, 20, 17, 14, 13, 12, 0, 8, 15
0.2, 20, 19, 16, 15, 11, 12, 0, 15
1.0, 20, 14, 13, 7, 11, 5, 5, 0
