=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 4, 4, 2, 4, 4, 3, 8
0.3, 6, 0, 0, 0, 0, 0, 0, 0
0.32, 6, 0, 0, 0, 0, 0, 0, 0
0.34, 8, 0, 0, 0, 0, 0, 0, 0
0.36, 6, 0, 0, 0, 0, 0, 0, 0
0.38, 6, 0, 0, 0, 0, 0, 0, 0
0.4, 7, 0, 0, 0, 0, 0, 0, 0
0.5, 2, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 4, 2, 4, 4, 3, 8
0.3, 9, 0, 3, 4, 4, 3, 5, 8
0.32, 6, 7, 0, 0, 0, 0, 0, 0
0.34, 8, 6, 0, 0, 0, 0, 0, 0
0.36, 6, 6, 0, 0, 0, 0, 0, 0
0.38, 6, 7, 0, 0, 0, 0, 0, 0
0.4, 7, 5, 0, 0, 0, 0, 0, 0
0.5, 2, 2, 0, 0, 0, 0, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 2, 4, 4, 3, 8
0.3, 9, 0, 8, 4, 4, 3, 5, 8
0.32, 11, 12, 0, 6, 2, 5, 3, 6
0.34, 8, 6, 4, 0, 0, 0, 0, 0
0.36, 6, 6, 8, 0, 0, 0, 0, 0
0.38, 6, 7, 5, 0, 0, 0, 0, 0
0.4, 7, 5, 7, 0, 0, 0, 0, 0
0.5, 2, 2, 4, 0, 0, 0, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 9, 4, 4, 3, 8
0.3, 9, 0, 8, 12, 4, 3, 5, 8
0.32, 11, 12, 0, 14, 2, 5, 3, 6
0.34, 11, 8, 6, 0, 5, 5, 4, 6
0.36, 6, 6, 8, 5, 0, 0, 0, 0
0.38, 6, 7, 5, 5, 0, 0, 0, 0
0.4, 7, 5, 7, 6, 0, 0, 0, 0
0.5, 2, 2, 4, 4, 0, 0, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 9, 11, 4, 3, 8
0.3, 9, 0, 8, 12, 11, 3, 5, 8
0.32, 11, 12, 0, 14, 7, 5, 3, 6
0.34, 11, 8, 6, 0, 11, 5, 4, 6
0.36, 9, 9, 13, 9, 0, 3, 3, 3
0.38, 6, 7, 5, 5, 7, 0, 0, 0
0.4, 7, 5, 7, 6, 7, 0, 0, 0
0.5, 2, 2, 4, 4, 7, 0, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 9, 11, 9, 3, 8
0.3, 9, 0, 8, 12, 11, 8, 5, 8
0.32, 11, 12, 0, 14, 7, 14, 3, 6
0.34, 11, 8, 6, 0, 11, 12, 4, 6
0.36, 9, 9, 13, 9, 0, 11, 3, 3
0.38, 11, 12, 6, 8, 9, 0, 6, 4
0.4, 7, 5, 7, 6, 7, 4, 0, 0
0.5, 2, 2, 4, 4, 7, 6, 0, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 9, 11, 9, 10, 8
0.3, 9, 0, 8, 12, 11, 8, 11, 8
0.32, 11, 12, 0, 14, 7, 14, 10, 6
0.34, 11, 8, 6, 0, 11, 12, 11, 6
0.36, 9, 9, 13, 9, 0, 11, 10, 3
0.38, 11, 12, 6, 8, 9, 0, 13, 4
0.4, 10, 9, 10, 9, 10, 7, 0, 5
0.5, 2, 2, 4, 4, 7, 6, 5, 0
=============new================
,0.2,0.3,0.32,0.34,0.36,0.38,0.4,0.5
0.2, 0, 11, 9, 9, 11, 9, 10, 12
0.3, 9, 0, 8, 12, 11, 8, 11, 14
0.32, 11, 12, 0, 14, 7, 14, 10, 14
0.34, 11, 8, 6, 0, 11, 12, 11, 12
0.36, 9, 9, 13, 9, 0, 11, 10, 12
0.38, 11, 12, 6, 8, 9, 0, 13, 13
0.4, 10, 9, 10, 9, 10, 7, 0, 14
0.5, 8, 6, 6, 8, 8, 7, 6, 0
