=============new================
0.1, 36
0.2, 7
0.3, 6
0.4, 8
0.5, 6
0.6, 4
0.7, 7
0.8, 5
0.9, 4
1.0, 7
=============new================
0.1, 39
0.2, 67
0.3, 12
0.4, 13
0.5, 13
0.6, 7
0.7, 11
0.8, 7
0.9, 4
1.0, 7
=============new================
0.1, 40
0.2, 73
0.3, 76
0.4, 21
0.5, 18
0.6, 8
0.7, 13
0.8, 8
0.9, 5
1.0, 8
=============new================
0.1, 40
0.2, 79
0.3, 81
0.4, 82
0.5, 24
0.6, 11
0.7, 16
0.8, 12
0.9, 6
1.0, 9
=============new================
0.1, 43
0.2, 84
0.3, 89
0.4, 89
0.5, 76
0.6, 13
0.7, 20
0.8, 16
0.9, 9
1.0, 11
=============new================
0.1, 45
0.2, 91
0.3, 97
0.4, 98
0.5, 84
0.6, 56
0.7, 25
0.8, 18
0.9, 12
1.0, 14
=============new================
0.1, 51
0.2, 99
0.3, 107
0.4, 107
0.5, 90
0.6, 62
0.7, 60
0.8, 20
0.9, 17
1.0, 17
=============new================
0.1, 56
0.2, 106
0.3, 115
0.4, 116
0.5, 97
0.6, 67
0.7, 64
0.8, 60
0.9, 21
1.0, 18
=============new================
0.1, 62
0.2, 113
0.3, 123
0.4, 124
0.5, 102
0.6, 70
0.7, 71
0.8, 63
0.9, 59
1.0, 23
=============new================
0.1, 69
0.2, 120
0.3, 133
0.4, 134
0.5, 111
0.6, 78
0.7, 80
0.8, 68
0.9, 64
1.0, 43
