=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 3, 4, 2, 4, 6, 3, 5, 6, 3
0.2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 6, 4, 2, 4, 6, 3, 5, 6, 3
0.2, 14, 0, 4, 5, 3, 7, 6, 8, 10, 10
0.3, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 6, 5, 2, 4, 6, 3, 5, 6, 3
0.2, 14, 0, 10, 5, 3, 7, 6, 8, 10, 10
0.3, 15, 10, 0, 2, 5, 9, 8, 9, 9, 9
0.4, 8, 5, 8, 0, 0, 0, 0, 0, 0, 0
0.5, 6, 7, 5, 0, 0, 0, 0, 0, 0, 0
0.6, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 7, 4, 2, 0, 0, 0, 0, 0, 0, 0
0.8, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0
0.9, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0
1.0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 6, 5, 2, 4, 6, 3, 5, 6, 3
0.2, 14, 0, 10, 11, 3, 7, 6, 8, 10, 10
0.3, 15, 10, 0, 7, 5, 9, 8, 9, 9, 9
0.4, 18, 9, 13, 0, 4, 7, 7, 6, 9, 9
0.5, 6, 7, 5, 6, 0, 0, 0, 0, 0, 0
0.6, 4, 3, 1, 3, 0, 0, 0, 0, 0, 0
0.7, 7, 4, 2, 3, 0, 0, 0, 0, 0, 0
0.8, 5, 2, 1, 4, 0, 0, 0, 0, 0, 0
0.9, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0
1.0, 7, 0, 1, 1, 0, 0, 0, 0, 0, 0
=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 6, 5, 2, 7, 6, 3, 5, 6, 3
0.2, 14, 0, 10, 11, 8, 7, 6, 8, 10, 10
0.3, 15, 10, 0, 7, 13, 9, 8, 9, 9, 9
0.4, 18, 9, 13, 0, 11, 7, 7, 6, 9, 9
0.5, 13, 12, 7, 9, 0, 8, 6, 6, 7, 8
0.6, 4, 3, 1, 3, 2, 0, 0, 0, 0, 0
0.7, 7, 4, 2, 3, 4, 0, 0, 0, 0, 0
0.8, 5, 2, 1, 4, 4, 0, 0, 0, 0, 0
0.9, 4, 0, 1, 1, 3, 0, 0, 0, 0, 0
1.0, 7, 0, 1, 1, 2, 0, 0, 0, 0, 0
=============new================
,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.1, 0, 6, 5, 2, 7, 8, 3, 5, 6, 3
0.2, 14, 0, 10, 11, 8, 14, 6, 8, 10, 10
0.3, 15, 10, 0, 7, 13, 17, 8, 9, 9, 9
0.4, 18, 9, 13, 0, 11, 16, 7, 6, 9, 9
