=============new================
,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,3.0,5.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,3.0,5.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 20, 0, 4, 9, 4, 9, 7, 9, 9, 7, 7, 9, 9
0.2, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,3.0,5.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 20, 0, 8, 9, 4, 9, 7, 9, 9, 7, 7, 9, 9
0.2, 20, 12, 0, 9, 8, 7, 8, 9, 9, 10, 9, 10, 10
0.3, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 10, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 10, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 10, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,3.0,5.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 20, 0, 8, 15, 4, 9, 7, 9, 9, 7, 7, 9, 9
0.2, 20, 12, 0, 14, 8, 7, 8, 9, 9, 10, 9, 10, 10
0.3, 20, 5, 6, 0, 8, 2, 7, 6, 8, 9, 10, 8, 9
0.4, 10, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 10, 1, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 10, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 10, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8, 10, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.9, 10, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.0, 10, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.0, 10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
=============new================
,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,3.0,5.0
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 20, 0, 8, 15, 8, 9, 7, 9, 9, 7, 7, 9, 9
0.2, 20, 12, 0, 14, 10, 7, 8, 9, 9, 10, 9, 10, 10
0.3, 20, 5, 6, 0, 12, 2, 7, 6, 8, 9, 10, 8, 9
0.4, 20, 12, 10, 8, 0, 5, 5, 7, 7, 6, 7, 5, 8
0.5, 10, 1, 3, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 10, 3, 2, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0
